rho,eta,year,ssp,discount_factor
0.0,1,2087,SSP1,0.24595843185254204
0.0,1,2087,SSP2,0.31994759478002227
0.0,1,2087,SSP3,0.6463364213230937
0.0,1,2087,SSP4,0.47408764899295364
0.0,1,2087,SSP5,0.16383728368387562
0.0,1,2088,SSP1,0.24239975014155368
0.0,1,2088,SSP2,0.31544034040894003
0.0,1,2088,SSP3,0.6439505568884856
0.0,1,2088,SSP4,0.471181930643565
0.0,1,2088,SSP5,0.160510767212134
0.0,1,2089,SSP1,0.23889255768191864
0.0,1,2089,SSP2,0.31099658187998064
0.0,1,2089,SSP3,0.6415734995532653
0.0,1,2089,SSP4,0.4682940216573697
0.0,1,2089,SSP5,0.157251791605255
0.0,1,2090,SSP1,0.23543610949467553
0.0,1,2090,SSP2,0.30661542469693026
0.0,1,2090,SSP3,0.6392052168072034
0.0,1,2090,SSP4,0.4654238128794586
0.0,1,2090,SSP5,0.15405898552825067
0.0,1,2091,SSP1,0.23211466050524754
0.0,1,2091,SSP2,0.3023294705235872
0.0,1,2091,SSP3,0.6366860767746546
0.0,1,2091,SSP4,0.462674842294754
0.0,1,2091,SSP5,0.15098376608732741
0.0,1,2092,SSP1,0.22884006933815215
0.0,1,2092,SSP2,0.29810342658859607
0.0,1,2092,SSP3,0.634176864800164
0.0,1,2092,SSP4,0.45994210817897613
0.0,1,2092,SSP5,0.14796993206042208
0.0,1,2093,SSP1,0.22561167493987902
0.0,1,2093,SSP2,0.29393645545027797
0.0,1,2093,SSP3,0.6316775417567533
0.0,1,2093,SSP4,0.45722551463334576
0.0,1,2093,SSP5,0.14501625811414728
0.0,1,2094,SSP1,0.22242882558282595
0.0,1,2094,SSP2,0.28982773137294227
0.0,1,2094,SSP3,0.6291880686716463
0.0,1,2094,SSP4,0.4545249663254984
0.0,1,2094,SSP5,0.14212154337437774
0.0,1,2095,SSP1,0.21929087873373213
0.0,1,2095,SSP2,0.28577644016325754
0.0,1,2095,SSP3,0.6267084067256598
0.0,1,2095,SSP4,0.4518403684861389
0.0,1,2095,SSP5,0.13928461093801062
0.0,1,2096,SSP1,0.21627165414378619
0.0,1,2096,SSP2,0.28182364513393793
0.0,1,2096,SSP3,0.623970698546364
0.0,1,2096,SSP4,0.4491419710993045
0.0,1,2096,SSP5,0.13654268584382243
0.0,1,2097,SSP1,0.21329399862035706
0.0,1,2097,SSP2,0.2779255242706726
0.0,1,2097,SSP3,0.6212449497504021
0.0,1,2097,SSP4,0.44645968858171403
0.0,1,2097,SSP5,0.13385473766188258
0.0,1,2098,SSP1,0.2103573398352718
0.0,1,2098,SSP2,0.2740813213327724
0.0,1,2098,SSP3,0.6185311080944966
0.0,1,2098,SSP4,0.4437934246951295
0.0,1,2098,SSP5,0.13121970381500303
0.0,1,2099,SSP1,0.20746111334024575
0.0,1,2099,SSP2,0.27029029053970016
0.0,1,2099,SSP3,0.6158291215635886
0.0,1,2099,SSP4,0.4411430837760481
0.0,1,2099,SSP5,0.1286365426436485
0.0,1,2100,SSP1,0.2046047624583881
0.0,1,2100,SSP2,0.26655169642638443
0.0,1,2100,SSP3,0.6131389383698418
0.0,1,2100,SSP4,0.438508570732272
0.0,1,2100,SSP5,0.12610423299415532
0.0,1,2101,SSP1,0.20178773817720727
0.0,1,2101,SSP2,0.262864813700541
0.0,1,2101,SSP3,0.6104605069516484
0.0,1,2101,SSP4,0.4358897910394949
0.0,1,2101,SSP5,0.12362177381505828
0.0,1,2102,SSP1,0.19900949904308463
0.0,1,2102,SSP2,0.2592289271019644
0.0,1,2102,SSP3,0.6077937759726427
0.0,1,2102,SSP4,0.4332866507379111
0.0,1,2102,SSP5,0.12118818376136298
0.0,1,2103,SSP1,0.19626951105720367
0.0,1,2103,SSP2,0.25564333126376604
0.0,1,2103,SSP3,0.6051386943207162
0.0,1,2103,SSP4,0.4306990564288443
0.0,1,2103,SSP5,0.11880250080660888
0.0,1,2104,SSP1,0.19356724757291122
0.0,1,2104,SSP2,0.25210733057553275
0.0,1,2104,SSP3,0.6024952111070382
0.0,1,2104,SSP4,0.4281269152713965
0.0,1,2104,SSP5,0.116463781862569
0.0,1,2105,SSP1,0.1909021891944918
0.0,1,2105,SSP2,0.24862023904837707
0.0,1,2105,SSP3,0.5998632756650801
0.0,1,2105,SSP4,0.4255701349791168
0.0,1,2105,SSP5,0.11417110240643616
0.0,1,2106,SSP1,0.18827382367733608
0.0,1,2106,SSP2,0.24518138018185448
0.0,1,2106,SSP3,0.597242837549645
0.0,1,2106,SSP4,0.4230286238166903
0.0,1,2106,SSP5,0.11192355611534835
0.0,1,2107,SSP1,0.1856816458294833
0.0,1,2107,SSP2,0.2417900868327215
0.0,1,2107,SSP3,0.5946338465359003
0.0,1,2107,SSP4,0.4205022905966471
0.0,1,2107,SSP5,0.10972025450810884
0.0,1,2108,SSP1,0.18312515741451954
0.0,1,2108,SSP2,0.23844570108550894
0.0,1,2108,SSP3,0.5920362526184151
0.0,1,2108,SSP4,0.41799104467609
0.0,1,2108,SSP5,0.10756032659395909
0.0,1,2109,SSP1,0.18060386705581305
0.0,1,2109,SSP2,0.23514757412488546
0.0,1,2109,SSP3,0.5894500060102016
0.0,1,2109,SSP4,0.4154947959534425
0.0,1,2109,SSP5,0.10544291852826614
0.0,1,2110,SSP1,0.17811729014206767
0.0,1,2110,SSP2,0.2318950661097866
0.0,1,2110,SSP3,0.5868750571417615
0.0,1,2110,SSP4,0.41301345486521607
0.0,1,2110,SSP5,0.10336719327498768
0.0,1,2111,SSP1,0.175664948734177
0.0,1,2111,SSP2,0.22868754604928457
0.0,1,2111,SSP3,0.5843113566601355
0.0,1,2111,SSP4,0.4105469323827967
0.0,1,2111,SSP5,0.10133233027578221
0.0,1,2112,SSP1,0.17324637147336078
0.0,1,2112,SSP2,0.22552439168017527
0.0,1,2112,SSP3,0.5817588554279569
0.0,1,2112,SSP4,0.40809514000925057
0.0,1,2112,SSP5,0.0993375251256326
0.0,1,2113,SSP1,0.17086109349056608
0.0,1,2113,SSP2,0.22240498934625838
0.0,1,2113,SSP3,0.5792175045225109
0.0,1,2113,SSP4,0.4056579897761488
0.0,1,2113,SSP5,0.09738198925485544
0.0,1,2114,SSP1,0.168508656317116
0.0,1,2114,SSP2,0.21932873387928722
0.0,1,2114,SSP3,0.5766872552347959
0.0,1,2114,SSP4,0.4032353942404115
0.0,1,2114,SSP5,0.0954649496173704
0.0,1,2115,SSP1,0.16618860779658845
0.0,1,2115,SSP2,0.21629502848156532
0.0,1,2115,SSP3,0.5741680590685905
0.0,1,2115,SSP4,0.40082726648116984
0.0,1,2115,SSP5,0.09358564838510597
0.0,1,2116,SSP1,0.16390050199790823
0.0,1,2116,SSP2,0.2133032846101669
0.0,1,2116,SSP3,0.5716598677395238
0.0,1,2116,SSP4,0.3984335200966479
0.0,1,2116,SSP5,0.09174334264842128
0.0,1,2117,SSP1,0.16164389912963562
0.0,1,2117,SSP2,0.21035292186275864
0.0,1,2117,SSP3,0.56916263317415
0.0,1,2117,SSP4,0.39605406920106245
0.0,1,2117,SSP5,0.08993730412242529
0.0,1,2118,SSP1,0.15941836545543514
0.0,1,2118,SSP2,0.20744336786500095
0.0,1,2118,SSP3,0.5666763075090269
0.0,1,2118,SSP4,0.39368882842154135
0.0,1,2118,SSP5,0.08816681885907726
0.0,1,2119,SSP1,0.15722347321070815
0.0,1,2119,SSP2,0.20457405815950644
0.0,1,2119,SSP3,0.5642008430897986
0.0,1,2119,SSP4,0.3913377128950606
0.0,1,2119,SSP5,0.08643118696495483
0.0,1,2120,SSP1,0.15505880052037316
0.0,1,2120,SSP2,0.20174443609633466
0.0,1,2120,SSP3,0.5617361924702822
0.0,1,2120,SSP4,0.3890006382653993
0.0,1,2120,SSP5,0.08472972232457793
0.0,1,2121,SSP1,0.15292393131777818
0.0,1,2121,SSP2,0.19895395272500105
0.0,1,2121,SSP3,0.5592823084115581
0.0,1,2121,SSP4,0.38667752068011335
0.0,1,2121,SSP5,0.08306175232917944
0.0,1,2122,SSP1,0.1508184552647297
0.0,1,2122,SSP2,0.1962020666879799
0.0,1,2122,SSP3,0.5568391438810654
0.0,1,2122,SSP4,0.3843682767875265
0.0,1,2122,SSP5,0.08142661761081503
0.0,1,2123,SSP1,0.14874196767262227
0.0,1,2123,SSP2,0.19348824411568027
0.0,1,2123,SSP3,0.5544066520516991
0.0,1,2123,SSP4,0.3820728237337401
0.0,1,2123,SSP5,0.07982367178170743
0.0,1,2124,SSP1,0.1466940694246545
0.0,1,2124,SSP2,0.1908119585228745
0.0,1,2124,SSP3,0.5519847863009141
0.0,1,2124,SSP4,0.3797910791596601
