time,regions,cooling
2715,LAM,-173.93260079735506
2715,SAS,-107.2639715206307
2715,SEA,-297.8804885516586
2715,CHI,-1257.3194272116148
2715,MAF,-180.49202190547038
2715,SSA,-185.6951370632144
2715,SIS,-6.031589001190141
2716,USA,-347.29075504325795
2716,CAN,-25.47924366048821
2716,WEU,-622.8779166491893
2716,JPK,-41.76542930196423
2716,ANZ,-2.4101130583912256
2716,EEU,-19.340625424409613
2716,FSU,-60.071111830340065
2716,MDE,-98.71919986041557
2716,CAM,-36.78941620022812
2716,LAM,-173.6423183801982
2716,SAS,-107.06393090577446
2716,SEA,-297.3474157909217
2716,CHI,-1255.0754891638387
2716,MAF,-180.15168836810497
2716,SSA,-185.36829772506675
2716,SIS,-6.021440328128987
2717,USA,-346.71096448514294
2717,CAN,-25.437193201398664
2717,WEU,-621.8110135626409
2717,JPK,-41.693620311496964
2717,ANZ,-2.4059336006581113
2717,EEU,-19.305356317320292
2717,FSU,-59.94000734558665
2717,MDE,-98.5437268533024
2717,CAM,-36.72103397664093
2717,LAM,-173.35268500227517
2717,SAS,-106.86441851175685
2717,SEA,-296.81567562333504
2717,CHI,-1252.837206540508
2717,MAF,-179.81228416352678
2717,SSA,-185.04225898747825
2717,SIS,-6.011314819353907
2718,USA,-346.13247629005457
2718,CAN,-25.395235927807075
2718,WEU,-620.7466211999053
2718,JPK,-41.62197956572085
2718,ANZ,-2.401764065093004
2718,EEU,-19.27017830571794
2718,FSU,-59.809334177902315
2718,MDE,-98.36868677393358
2718,CAM,-36.65283118514427
2718,LAM,-173.06369866746397
2718,SAS,-106.66543238513498
2718,SEA,-296.28526335302047
2718,CHI,-1250.6045588670183
2718,MAF,-179.4738056133701
2718,SSA,-184.71701806867017
2718,SIS,-6.001212401054733
2719,USA,-345.55528638958975
2719,CAN,-25.3533715511518
2719,WEU,-619.6847311697644
2719,JPK,-41.55050651960037
2719,ANZ,-2.3976044190757158
2719,EEU,-19.23509105519388
2719,FSU,-59.67909030066894
2719,MDE,-98.19407813238092
2719,CAM,-36.58480716843019
2719,LAM,-172.7753573875423
2719,SAS,-106.46697058175306
2719,SEA,-295.756174305735
2719,CHI,-1248.377525767551
2719,MAF,-179.13624905869816
2719,SSA,-184.39257219964125
2719,SIS,-5.991132999727667
2720,USA,-344.97939073202554
2720,CAN,-25.311599784050983
2720,WEU,-618.6253351186066
2720,JPK,-41.479200630360964
2720,ANZ,-2.3934546301232857
2720,EEU,-19.200094232946284
2720,FSU,-59.54927369957583
2720,MDE,-98.01989944531286
2720,CAM,-36.51696127227674
2720,LAM,-172.48765918215497
2720,SAS,-106.2690311666928
2720,SEA,-295.22840382875626
2720,CHI,-1246.1560869645175
2720,MAF,-178.79961085988137
2720,SSA,-184.0689186241
2720,SIS,-5.981076542173891
2721,USA,-344.4047852822453
2721,CAN,-25.26992034029726
